Company Name,Category,Priority,Contact Email,Phone,Region,Partner Program URL,Revenue Model,Status,Owner,Last Contact Date,Next Action,Notes
Hostaway,Channel Manager,P1,partnerships@hostaway.com,,Global,https://www.hostaway.com/integrations/,Marketplace listing + co-marketing,Not started,,,Cold email,PMS Marketplace mature - Airbnb natif + 50 OTAs - intégration API native
PriceLabs,Pricing dynamique,P1,partners@pricelabs.co,,Global,https://www.pricelabs.co/partners,Referral 15-20% MRR Y1,Not started,,,Cold email,Leader STR revenue management - Partner Network public - sandbox API gratuit
Pennylane,Compta + Signature,P1,partenariats@pennylane.com,,FR,https://www.pennylane.com/fr/partenaires/,Referral + Marketplace App,Not started,,,Cold email,600+ employés FR - intégration OAuth2 déjà en place côté Clenzy
Sumsub,KYC,P1,partners@sumsub.com,,Global / MENA,https://sumsub.com/partners/,Referral + tarif partner 30-40% off,Not started,,,Cold email,Leader MENA KYC - support arabe natif - critical pour KSA/MA
Chekin,Conformité voyageur,P1,partners@chekin.com,,FR / EU,https://chekin.com/integrations/,Referral + tarif partner,Not started,,,Cold email,Standard de fait fiche police FR - couvre 14 pays EU
AirDNA,Market intelligence,P1,partners@airdna.co,,Global,https://www.airdna.co/partners,Affiliate + revenue share + tarif partner,Not started,,,Cold email,Leader market intel STR - data benchmarking cherché par tous les hosts
WhatsApp Business,Messagerie,P1,Meta Business Manager,,MA / KSA,https://www.facebook.com/business/partner-directory,Coût par conversation Meta + marge BSP,Not started,,,Via BSP (Twilio/360dialog),Standard de fait MENA - accès via Business Solution Provider tiers
Avalara MyLodgeTax,Taxe de séjour,P1,partners@avalara.com,,FR / Global,https://www.avalara.com/partners/,Referral + listing + co-marketing,Not started,,,Cold email,Leader compliance fiscale - automatise taxe séjour multi-villes
Yousign,Signature,P2,partners@yousign.com,,FR / EU,https://yousign.com/fr/partenaires,Revenue share 15-30% Y1,Not started,,,Cold email,QTSP français eIDAS - alternative locale à DocuSign
DocuSign,Signature,P2,partner@docusign.com,,Global,https://www.docusign.com/partner-program,Referral + co-sell + App Marketplace,Not started,,,Inscription en ligne,Leader mondial - 1.4M clients - listing App Marketplace possible
Beyond,Pricing,P2,partnerships@beyondpricing.com,,Global,https://www.beyondpricing.com/partners,Referral + co-marketing,Not started,,,Cold email,Algorithme propriétaire - alternative PriceLabs cible premium
Wheelhouse,Pricing,P2,partnerships@usewheelhouse.com,,Global,https://www.usewheelhouse.com/partners,Referral SaaS standard,Not started,,,Cold email,Market comparison engine - US/EU
QuickBooks,Compta,P2,marketplace@intuit.com,,US / UK / CA / AU,https://developer.intuit.com/app/developer/qbo/docs/develop/marketplace-listings,App Marketplace listing,Not started,,,Inscription Intuit Developer,14M+ clients - utile pour expansion US/UK/AU
Xero,Compta,P2,partner-program@xero.com,,UK / AU / NZ,https://www.xero.com/partner-programs/,App Store listing + featured tier,Not started,,,Application en ligne,3.7M+ clients - process strict review 6-8 semaines
Sage,Compta,P2,partenaires@sage.com,,FR / EU,https://www.sage.com/fr-fr/partenaires/,Commission négociable,Not started,,,Cold email,Leader compta FR/EU PME - alternative Pennylane pour base installée
SiteMinder,Channel Manager,P2,partners@siteminder.com,,Global,https://www.siteminder.com/partners/,App Store listing + co-marketing,Not started,,,Cold email,Leader hôtellerie ~250 OTAs - process partnership rigoureux
Veriff,KYC,P2,partners@veriff.com,,EU,https://www.veriff.com/partners,Referral standard SaaS,Not started,,,Cold email,Alternative Sumsub - EU focus
Onfido,KYC,P2,partners@onfido.com,,Global,https://onfido.com/partners,Referral + co-sell,Not started,,,Cold email,UX premium - racheté par Entrust 2024
Airbnb,OTA,P2,partner-onboarding@airbnb.com,,Global,https://www.airbnb.com/partner,Pas de commission - badge Approved Partner,Not started,,,Application Software Partner,OAuth2 en place côté Clenzy - certification en cours
Booking.com,OTA,P2,connectivity@booking.com,,Global,https://connect.booking.com/,Pas de commission - badge Connectivity,Not started,,,Cold email,Booking Holdings - leader hôtellerie + STR EU
Expedia Group,OTA,P2,via EPS form,,Global,https://www.expediagroup.com/partner-solutions/,Pas de commission - listing,Not started,,,Application EPS,Expedia + Hotels.com + Vrbo + Abritel - accès groupé
Vrbo,OTA,P2,via Expedia EPS,,US / EU,https://www.expediagroup.com/partner-solutions/,Inclus Expedia Connectivity,Not started,,,Application EPS,Inclus dans Expedia
Gathern,OTA,P2,partnerships@gathern.co,,KSA,https://gathern.co/,À négocier,Not started,,,Cold email,Leader STR Arabie Saoudite
