Domaine,V1_juin13,V2_juin27,V3_juil12,Realisations_juin,Realisations_juillet
1. Channel Management,2.0,2.5,2.5,Sync 2-way (DLT) + sync restrictions (reconciliation/watchdog) + mapping avance (suggestion/validateur/multi-rate-plan) + CM natif (routage direct prioritaire anti-double-push) + inbox idempotente cross-canal,Inchange
2. Booking engine & site direct,1.4,2.7,2.7,i18n/RTL booking-sdk + emails de confirmation + moteur de remboursement d'annulation + sites SSR avec SEO complet + blog IA + Studio GrapesJS + 6 templates de galerie + generation de site par IA + auto-traduction IA + panier multi-sejours + multi-devise + filtres de recherche + SDK/API public + capture de leads + caution/depot + fraud scoring,Inchange
3. Calendrier & multi-tenant,2.6,2.7,2.7,Edition groupee + durcissement isolation (requireSameOrganization) + detection double-booking,Modal unifie reservation/blocage (fusion BlockPeriodDialog) + calendrier 2 mois + selecteur de logement unifie (raffinement UX, pas de nouvelle capacite)
4. Tarification / Yield,1.7,1.9,1.9,Recommandation de prix CAS-safe + simulation TTC par pays (TVA + taxe de sejour),Inchange
5. Operations menage/maintenance,2.2,2.2,2.8,Inchange (juin),MOTEUR MENAGE complet : prix conseil calcule (minutes x taux + fourchette) + tarifs housekeeper cadres + devis menage PDF + paiement prestataire a la completion gate par preuve photo (Stripe Connect) + score qualite + anomalies terrain -> maintenance chiffree + auto-assignation. Aucun PMS ne calcule un prix conseil menage (benchmark juillet)
6. Communication voyageurs,1.6,2.1,2.2,Copilote IA de reponse + RAG/KB + sentiment/urgence + auto-traduction on-demand + assignation durcie,Agent Communication de la constellation + cartes proactives (email voyageur manquant -> ouvre fiche client, mission assignee avec remuneration)
7. Guest Experience & Livret,1.6,1.9,1.9,Caution/depot (cycle de vie CAS) + taxe de sejour + check-in en ligne branche au livret + fiche de police (GuestDeclaration + Chekin),Inchange
8. Finance & Compta,2.2,2.5,2.6,Abstraction e-invoicing + providers FR/MA/KSA + chaine PIH ZATCA + caution/depot + consolidation multi-devise,Versements prestataires (Stripe Connect Express embarque) + onglet Finance dedie + payout gate preuve photo
9. Reporting & Analytics,1.7,2.0,2.0,Report builder (socle whitelist+CRUD) + comparaison N/N-1 serveur + agregation multi-devise,Inchange
10. Integrations & API / IoT,1.4,1.5,1.5,Webhooks sortants livres bout-en-bout (file persistee + retry/backoff + signature HMAC) ; reste gated,Inchange
11. Application mobile,2.5,2.5,2.5,Inchange,Ecrans pro (Mes tarifs / Mes versements / Mes signalements) + onboarding Stripe in-app + locale arabe
12. Admin securite & conformite,1.6,2.0,2.0,2FA (policy org) + socle Country multi-pays + fail-fast au boot + journal d'audit + observabilite + declaration voyageurs FR + retention OTA/FR/MA/KSA + framework de purge,Inchange
13. IA & automatisation,1.2,1.6,2.4,Detection d'anomalies + architecture reco de prix + architecture multi-agent productisee (orchestrateur/specialistes/HITL/AG-UI) + IA agentique d'action + failover multi-provider,CONSTELLATION DEPLOYEE (5 agents Finance/Ops/Revenue/Com/Reputation, cartes HITL, feed temps reel) + AUTONOMIE DETERMINISTE opt-in (AutoApplyGate, toggles menu Automatisation, Regles de Confiance gagnees par l'historique) : le potentiel IA verrouille est debloque
SCORE GLOBAL PONDERE,1.86,2.20,2.31,Hausse tiree par Booking engine (1er du domaine a 2.7) Finance Channel Communication Integrations et la vague conformite/IA ; 3e rang global,Hausse tiree par le Moteur Menage (D5 2.2->2.8, differenciateur unique marche) et la Constellation deployee + autonomie (D13 1.6->2.4) ; Baitly a egalite avec Hostaway (2.31), 3e derriere Guesty (2.52)
