Section,Fonctionnalite,Clenzy_actuel,Hostaway,Guesty,Cible,Evolution_fonctionnelle,Evolution_technique,Multipays_FR_MA_KSA,Composants_Clenzy,Effort,Priorite
0. Socle multi-pays,Modele pays / config Country centralisee,"countryCode disperse (Property.country, Property.countryCode, FiscalProfile.countryCode) sans entite de config ni source de capacites unique",Multi-pays operationnel mais pas de couche fiscale/conformite par pays,"Multi-pays global, fiscalite et taxes gerees par integrations tierces",Differenciation,"Activer un pays = une ligne de config (devise, fuseau, week-end, TVA, providers fiscaux/conformite) sans deploiement","Entite Country (code, currency, timezone, weekend_days, tax_calculator, compliance, einvoicing_provider, guest_registration_provider, signature_regime, vat_rate, enabled) + branchement des registries existants sur country.* + distinction org.country (facturation) vs property.countryCode (operations) + fail-fast au boot",Tous (FR/MA/KSA) - prerequis transverse,"model/Country.java (a creer), Liquibase changeset country, TaxCalculatorRegistry, ComplianceStrategyRegistry, PaymentProviderRegistry, Property.java, Organization.java",M,P0
0. Socle multi-pays,Activation du flag multi-country + rollout par pays,"fiscal.multi-country.enabled=false (application.yml:242), logique FR hardcodee, fondations desactivees","Pas de flag multi-pays explicite, comportement global par defaut",Plateforme multi-pays activee globalement,Parite,"Ouvrir FR puis MA puis KSA de facon graduelle et controlee, sans regression sur la France deja conforme",Master switch fiscal.multi-country.enabled=true + Country.enabled par pays + fail-fast (pattern EnvironmentValidator) si propriete pointe vers pays actif sans provider resolu,Tous (FR/MA/KSA),"application.yml, Country.enabled, CountryConfigValidator (a creer), TaxCalculatorRegistry, ComplianceStrategyRegistry",S,P0
0. Socle multi-pays,Internationalisation complete FR/EN/AR (web + mobile + booking),"Web fr/en/ar a parite (ar.json 231 KB) mais mobile en fr/en seulement, pas de lint de completude i18n",Multi-langue UI mais pas d arabe natif,"Multi-langue, support arabe partiel",Parite,"Trois langues a parite sur web, mobile et tunnel de reservation, sans clefs manquantes en arabe",Lint CI de completude i18n (clef AR/EN manquante = echec build) + ar.json mobile aligne sur le namespace web + pluriels arabes 6 formes via ICU/Intl.PluralRules + parite des chaines paiement regional du booking engine,MA/KSA (arabe) - FR/EN deja couverts,"client/src/i18n/locales, mobile/src/i18n/locales, config.ts, booking-engine SDK",M,P1
0. Socle multi-pays,"Rendu RTL arabe (PMS web, booking, livret, mobile)","Base presente (stylis-plugin-rtl, rtlCache/ltrCache, document.dir, theme.direction, textDirection.ts) mais logical-properties, icones directionnelles, calendrier et graphiques non audites; mobile sans RTL",Pas de support RTL,RTL non natif,Differenciation,"UI arabe miroir correcte (texte, layout, icones, planning, graphiques) sur web et mobile","Migration vers logical properties (marginInlineStart/End, insetInlineStart, textAlign start) + useDirectionalIcon (swap chevrons) + planning Gantt axe temps inverse + graphiques RTL-aware + I18nManager.forceRTL cote mobile RN",MA/KSA,"client/src/main.tsx, theme/createBaitlyTheme.ts, utils/textDirection.ts, components/Sidebar.tsx, planning, modules reporting, mobile App.tsx",L,P1
0. Socle multi-pays,Polices arabes embarquees (Tajawal / IBM Plex Sans Arabic),Tajawal referencee dans textDirection.ts mais pas de strategie de self-hosting ni subset documentee,Police latine uniquement,Police latine uniquement,Differenciation,"Texte arabe lisible et coherent avec l identite Clenzy, sur ecran et dans les PDF","Self-host police arabe couvrant latin+arabe (RGPD, pas de Google Fonts prod) + subset pour le poids + sur-dimensionnement +15-20% deja gere par textDirection + BaseFont arabe iText pour les PDF",MA/KSA,"client/src/theme, assets fonts, InvoicePdfService, certificat iText",S,P1
0. Socle multi-pays,Abstraction EInvoicingProvider par pays,Aucune abstraction d emission/transmission (pas de classe zatca/fatoora/facturx); seuls TaxCalculator et CountryComplianceStrategy existent,Pas d e-invoicing reglementaire,E-invoicing delegue a des integrations comptables tierces,Differenciation,"Emettre des factures conformes a l autorite de chaque pays (PDP FR, DGI MA, ZATCA KSA) via une interface unique","Interface EInvoicingProvider (clear/report/renderCompliantArtifact, mode NONE/FACTURX_PDP/DGI_CLEARANCE/ZATCA_CLEARANCE/ZATCA_REPORTING) + EInvoicingProviderRegistry resolu par country + appels hors transaction avec idempotency",Tous (FR/MA/KSA),"einvoicing/EInvoicingProvider.java (a creer), EInvoicingProviderRegistry, InvoiceGeneratorService, Invoice.java, Outbox",M,P1
0. Socle multi-pays,ZATCA Fatoora Phase 2 (clearance B2B + reporting B2C),"SaudiComplianceStrategy documente ZATCA Phase 1 (QR simplifie) mais aucune integration Phase 2 (clearance, UBL, crypto, certificats)",Non couvert,Non couvert nativement,Differenciation,"Factures KSA legalement valides: B2B validees en temps reel par ZATCA, B2C reportees sous 24h, QR et tampon cryptographique","ZatcaFatooraProvider: onboarding CSID compliance puis production, serialisation UBL 2.1, signature XAdES, chaine PIH (hash SHA-256 base64 facture precedente, sequencement atomique anti check-then-act), QR TLV base64, API clearance (B2B synchrone bloquant) + reporting (B2C <24h via job/DLT), certificats en KMS, etat CLEARANCE_FAILED + notif admin",KSA,"einvoicing/zatca/ZatcaFatooraProvider.java (a creer), CSID/cert manager KMS, UBL serializer, XAdES signer, QR TLV, InvoicePdfService, Kafka Outbox",L,P2
0. Socle multi-pays,E-invoicing Maroc DGI (clearance UBL 2.1 Simpl-TVA),MoroccoComplianceStrategy (ICE/mentions DGI) sans transmission ni clearance,Non couvert,Non couvert nativement,Differenciation,"Factures marocaines pre-validees par la DGI avant validite legale, archivees 10 ans inalterable","MoroccoDgiProvider mode DGI_CLEARANCE: serialisation UBL 2.1, soumission au portail Simpl-TVA, attente clearance avant emission, ICE obligatoire (champ FiscalProfile), archivage 10 ans (reutilise immutabilite NF), a caler sur la publication finale de l API DGI",MA,"einvoicing/dgi/MoroccoDgiProvider.java (a creer), FiscalProfile.java (champ ICE), MoroccoComplianceStrategy, InvoiceGeneratorService",L,P2
0. Socle multi-pays,Factur-X + pont PDP France,"Documents NF generes (numerotation, immutabilite, mentions via FranceComplianceStrategy) mais pas de XML structure ni de transmission PDP",Non couvert,Non couvert nativement,Differenciation,"Factures FR conformes a la reforme: reception 09/2026, emission obligatoire 09/2027 (TPE/PME), via plateforme agreee","FrancePdpProvider mode FACTURX_PDP: generation PDF/A-3 + XML CII embarque (EN 16931), integration d une PDP partenaire agreee (Clenzy ne devient pas PDP), export FEC complete vs schema DGFiP",FR,"einvoicing/facturx/FrancePdpProvider.java (a creer), FranceComplianceStrategy, InvoicePdfService, export FEC",M,P1
0. Socle multi-pays,Abstraction GuestRegistrationProvider (declaration voyageurs),Module compliance couvre les mentions documentaires (stub) mais pas la transmission aux autorites,Declaration voyageurs via integrations tierces (ex Chekin),Declaration via marketplace d integrations,Differenciation,"Declarer les invites aux autorites de chaque pays via une interface unique (FR, MA, KSA)",Interface GuestRegistrationProvider (register/checkStatus/requiresIdDocument/requiredFields) + GuestRegistrationProviderRegistry resolu par country + chiffrement et minimisation des donnees d identite,Tous (FR/MA/KSA),"compliance/registration/GuestRegistrationProvider.java (a creer), Registry, Reservation.java, GuestIdentity",M,P1
