Fonctionnalite,Clenzy,Hostaway,Guesty,Smoobu,Lodgify,Hospitable,Avantio,Smily,Confiance
Facturation conforme/inviolable (NF anti-fraude FR),3,1,1,2,1,1,2,2,Probable
Numerotation sequentielle sans trou + immuabilite,3,1,1,1,1,1,1,2,Probable
Trust accounting / grand livre partie double,3,1,3,1,1,1,1,1,Probable
Sequestre/escrow + liberation auto,3,1,3,0,1,0,1,1,Probable
Reversements proprietaires automatises (payouts),3,2,3,1,2,2,3,2,Confirme
Relevés proprietaires (owner statements),2,3,3,2,3,2,2,3,Confirme
Calcul de commission de gestion (mandat),3,2,3,1,2,2,3,2,Confirme
Facture de commission conforme (NF),3,1,2,1,1,1,2,2,Probable
Portail proprietaire + dashboard financier,2,3,3,1,2,3,3,2,Confirme
Paiements par carte (Stripe/gateway),3,2,3,2,3,2,2,2,Confirme
Multi-rails de paiement (au-dela de Stripe),3,1,2,1,2,1,2,1,Probable
Multi-devise,2,3,3,1,2,1,2,2,Confirme
Gestion depot de garantie/caution (auth-hold),0,3,3,1,2,1,2,1,Confirme
Taxe de sejour auto (calcul integre),3,2,2,2,2,1,2,2,Probable
Fiscalite multi-pays (moteur taxes),3,2,3,1,1,1,2,1,Probable
Suivi des depenses (expenses),2,3,3,1,3,2,3,2,Confirme
Integration QuickBooks (sync reelle),0,3,3,1,1,3,1,1,Confirme
Integration Xero (sync reelle),0,3,2,1,1,1,1,1,Probable
Integration Pennylane (sync FR),3,0,0,0,0,0,0,1,Probable
Export FEC (DGFiP France),3,0,0,1,1,0,1,2,Probable
E-invoicing Factur-X / pont PDP (reforme FR),1,0,0,0,0,0,0,1,A verifier
Rapprochement bancaire (reconciliation),0,2,3,0,1,1,1,1,Probable
</content>
